feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Bacteroidaceae	Barnesiellaceae	Candidatus	Christensenellaceae	Clostridia	Clostridiaceae	Coprobacillaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Evtepia	Intestinimonas	Lachnospiraceae	Lactobacillaceae	Odoribacteraceae	Oscillospiraceae	Peptostreptococcaceae	Rikenellaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Bifidobacteriaceae	Coriobacteriaceae	Desulfovibrionaceae	Enterococcaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Veillonellaceae	Clostridiales	Atopobiaceae	Micrococcaceae	Peptoniphilaceae	Prevotellaceae	Gemmiger
201209-MICU-040-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00296508017370311	0	0	0	0	0.0149547878245522	0.000108648977020291	0	0	0	0	0	0.981788222405808	0	0	0	0	0	0	0	0
201209-MICU-042-01	0.02208076339231	0	0	0.0666366545283342	0	0	0	0	0.000773196814506784	0.00512151882452728	0.000557085149937326	0.0519527102538372	0	0	0	0	0.255812020468117	0.0480824791805958	0	0.0112448444444984	0.000738007380073801	0.00239045468389574	0	0.119415588434082	0.0127230433764384	0.00967418224001378	0	0.047078973584869	0.00211197278036575	0.27090950126864	0.0013465419100097	0.0191870997960226	0	0.00579849073729146	0.00181456138796837	0.00542524004654713	0.0316245020391671	0
201209-MICU-046-01	0	0	0	0	0	0	0	0	0	0	0	0.000366114229579674	0	0	0	0	0	0	0	0	0	0	0	0.00400356025994942	0	0	0.003185692666089	0	0	0.992444632844382	0	0	0	0	0	0	0	0
201209-MICU-048-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92431978919485	0	0	0	0	0	0.0756802108051498	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201209-MICU-050-01	0.012357876012087	0	0.32209620023385	0.0632026824169693	0	0	0.000319088408338336	0.0276654412542894	0	0.0107685723212025	0.0211574135614373	0.0953079504766324	0.00180658014273147	0	0.000443337095366265	0	0.137888314188734	0.0056042084533134	0.00137890642528696	0.0302119043365543	0.00518373142302212	0.0033169319421996	0	0.027351221193143	0	0.164089335440975	0.0522774763165492	0	0	0.0175728283573181	0	0	0	0	0	0	0	0
201209-MICU-051-02	0.0151561192474393	0.00107789789073695	0	0.0388778766943324	0.00908768246019602	0.0156952751889461	0.00221623865385167	0.0332548955966677	0.0375860827940394	0.00823223641939736	0.0419505273709614	0	0.00913391159774523	0.00763042964670451	0.00914412340723372	0.00523589831908096	0.404166997860488	0.000391774691051364	0.000510038484722029	0.108344262729435	0.00400923920363342	0.125663077629624	0	0	0	0.00751464980669321	0.00320664617680893	0.0621936457153455	0.00624327952537717	0	0	0	0.00134036899407605	0.00133070917428964	0	0	0	0.0150041840819418
201209-MICU-053-01	0	0	0.507638828858335	0	0	0	0	0	0	0	0	0.422060792452019	0	0	0	0	0	0.00329988802864259	0	0	0	0	0	0	0	0	0	0	0	0.00494354151726668	0	0.00918122517525202	0	0	0	0	0.00193991695694399	0
201209-MICU-055-01	0.0074558228218665	0.0043190035052303	0.00170321208094169	0.0209450641560358	0.00407621222088644	0.000818548225658521	0.00161267039926127	0.259180981618753	0.0539927779693907	0.00154912593301091	0.0177893284231459	0.0221164127275526	0.0442067465123087	0.0322717734378989	0.00912689536062954	0.000885398473390112	0.215743012955358	0.00316730596807423	0.00801762201914929	0.035585452063781	0.0313433998052527	0.0150087988883759	0.00288998763270417	0.0253026351118805	0.000421119829803677	0.00883580293575434	0.0521211546874328	0.0476647775962047	0.00816472929506414	0.00260073175309632	0.00187970408113416	0	0	0	0.00090890625281221	0	0	0.000993203680583639
201209-MICU-071-01	0.00499092671822424	0.000166212242671532	0	0.0404140301370567	0	0	0	0.000487859874375046	0.00022106366440104	0.0158397642134956	0.00262844696972837	0.0979441908199445	0.00548983977581934	0.00191524032245451	0.000491590323711814	0	0.0574433931946104	0	0.000501814518190362	0.000226866585591568	0	0.0117665280321161	0	0.00104563113261692	0.0458563412250298	0.0136884002645027	0	0	0.00633969140065109	0.686572896986819	0	0.00529848154132219	0	0	0.000670790056666907	0	0	0
201209-MICU-074-01	0	0.00128838185374322	0	0.117163205735653	0	0	0.000118184898728383	0.00974692499301473	0.0159409313302935	0.00882867351124481	0.0107347319735332	0.0182850110872654	0.00363495847477276	0.00101337011253723	0.00778867018209273	0	0.50858980684973	0	0	0.0847556937417886	0.00359096610804287	0	0	0.003413094268508	0	0.0144297340839779	0.0610438080743828	0.0836779996551949	0.00403600240174543	0	0.000773908959580527	0.010543305729114	0.0030115747483815	0	0	0	0	0.0178211888639863
210121-MICU-116-01	0.0034199180896833	0.000241498199587997	0.000402994677210471	0.0223676354091354	0	0.00677103221008676	0	0.00464171732716611	0.00268534551350219	0.000228060896365172	0.00207581450897792	0	0.00098390920264909	0.000212881720502351	0.00142883324269375	0	0.0643174030371042	0.0010682656062146	0.00392941583688209	0.0479227733299889	0	0.00529491956716456	0	0.00386509096867653	0.00120848635373427	0.00320280610705524	0.00803973758937517	0.0175139072977869	0.00247793824986839	0.793389269840583	0.000664275573209849	0	0.00103218395867183	0	0	0.00022134224475376	0	0
210121-MICU-122-01	0.00192867720296408	0.00498586612239234	0.0239639926958667	0.0908454073142121	0	0.00179919458097382	0.000132195047368226	0.102073278027456	0.00122573075237969	0.00481812402664972	0.0234340704325505	0.0145253234174675	0.01636491886065	0.0107878867650915	0	0.000117348087404624	0.135929057799072	0.000953631659200597	0.0144626521153135	0.0476331875809177	0	0.0557382001287403	0	0.123786385937302	0.00309059457934637	0.0214501454074141	0.131841861032169	0.112392628998311	0.0124881491993848	0.0158918147710406	0.000437414282004585	0	0.000738350739728366	0	0	0	0	0
210122-MICU-082-01	0	0	0	0.0177288818262924	0	0	0	0	0	0	0	0.0725212174747301	0	0	0	0	0	0.00410421906809974	0	0	0	0	0	0.00962208829715687	0	0	0	0	0	0.895182983058964	0	0.000840610274756488	0	0	0	0	0	0
210122-MICU-084-01	0.00990166181069379	0.000729016844249871	0	0.0427574849716256	0.000308495562565841	0	0.00139097511917929	0.0419021940962577	0.0119555102340135	0.00159816387624151	0.0617188510004341	0.0813527634993279	0.0221959942896948	0.000186012366750505	0.0057376253083485	0	0.493571854433493	0.0220714195985401	0.00145594219316031	0.0157488291874449	0	0.0257085299938079	0	0.0153203340797793	0	0.00953303575711935	0.061214147031338	0.0299558341543542	0.0371965910194589	0	0.00221620074904291	0	0.00106064957400815	0	0.000510717018196924	0.00270116623087311	0	0
210122-MICU-094-01	0	0.00192412992038567	0	0.000117107143906287	0	0	0	0.0513884672884681	0.0231213169141619	0.0210504391716383	0.0119613369110338	0.00221193561303671	0.00166980231520162	0	0	0.0221451593993634	0.552218538603411	0.221688454770575	0	0.0679779843862434	0	0	0	0.0111448950150995	0	0	0.00874413240279247	0	0	0	0	0	0.000618352184716472	0.000633172523832296	0	0.00022561319814714	0	0
210122-MICU-097-01	0.0702718182614328	0	0.00137850321760026	0.321481257554605	0	0.00188499250920368	0	0.0210218813677037	0.0132154366134389	0.0026661521378625	0.0193346374515463	0	0.000507543014124097	0.00639305161320235	0	0.000617364316834224	0.399144939298558	0.00642068255929999	0	0.0278363049088952	0	0.000948467348885653	0	0.0723175619951791	0	0.0103738982160244	0.00125322731792026	0	0	0	0	0.0210698842825344	0.000669699202027643	0	0.000623335411118037	0	0	0
210122-MICU-106-01	0	0	0	0.279727374883963	0	0.00068389709514736	0	0.00856157951023023	0.0207875836685504	0.0483866694895472	0.0151110966348007	0	0	0	0.00424202943395817	0.00582761971456335	0.478949997014261	0.00547682252224376	0.000873355807805265	0.0339946473842212	0.00220955545060231	0	0	0.00164758507999066	0	0.0585119076700921	0.00283742922441357	0	0	0.00864604878154705	0	0	0.00505881905878649	0	0	0	0.0181089957602506	0
210125-MICU-111-01	0.0260734271570583	0.00492061173089343	0	0.158080951456352	0	0	0	0.000821744928114764	0	0.00849623779497226	0.00402775745598669	0.0533079746917183	0.00954615290126689	0	0	0	0.0250436707752436	0.0223288887037929	0.00172024807636479	0.0621460247050707	0	0.00117994995541267	0	0	0.0243918350963172	0.0700428173523199	0.16626317835077	0	0.000473951549724097	0.290911217543761	0	0.0115476262603495	0	0	0	0.000659921321162928	0.0553005870730075	0
210125-MICU-114-01	0.0928382448334131	0.000602447308738231	0	0.18131845505526	0	0.00801155197114072	0	0.0295908978013548	0.00341394629736588	0.0103137571394699	0.0183836180322159	0.00367756832321492	0.0264567639346297	0	0.00801952985176277	0	0.468204802050597	0	0.00546273643417128	0.0740951528861098	0.000389156323872388	0	0	0.0139936718981619	0.00765630163991202	0.00763553568593994	0.00399926462712149	0	0	0	0.000456147056742793	0.0267447888894403	0.00239242561242259	0	0	0	0	0
210125-MICU-127-01	0.00807294093347553	0	0	0.226256325465213	0.00245027569085987	0.000605699549130158	0.00150064286717432	0.0136730401179382	0.000333446694590172	0.0258887111037484	0.0107433020620864	0.0346846950887496	0	0.00259310556481649	0.0025499645712887	0.0141345823779263	0.287252911618839	0	0.0077238307396968	0.0941428070424154	0	0.0190847790875826	0	0.00117330228243731	0.0014209979560461	0.00722233328262607	0	0	0	0.237012768937635	0	0	0.000872244518372621	0	0	0	0	0
210125-MICU-134-01	0.0027406552492704	0	0.283849493051567	0.137702921756604	0.00566238631363097	0.000651387681787732	0	0.0110582668260679	0.00177793975564215	0.0497243382496226	0.00713666013959439	0.0181669610957717	0.0361159416440407	0.00329077838848654	0.00282889459216695	0.00201111636943246	0.101431060810571	0.00424034098440373	0.000376964602359809	0.0289975423235986	0	0.082636463867713	0	0.061252789244352	0	0.102471289012069	0	0	0.0122090815267679	0.00296438220839451	0.0233103825909778	0	0	0	0	0	0	0
